right_wrist_x,right_wrist_y,right_thumb_cmc_x,right_thumb_cmc_y,right_thumb_mcp_x,right_thumb_mcp_y,right_thumb_ip_x,right_thumb_ip_y,right_thumb_tip_x,right_thumb_tip_y,right_index_finger_mcp_x,right_index_finger_mcp_y,right_index_finger_pip_x,right_index_finger_pip_y,right_index_finger_dip_x,right_index_finger_dip_y,right_index_finger_tip_x,right_index_finger_tip_y,right_middle_finger_mcp_x,right_middle_finger_mcp_y,right_middle_finger_pip_x,right_middle_finger_pip_y,right_middle_finger_dip_x,right_middle_finger_dip_y,right_middle_finger_tip_x,right_middle_finger_tip_y,right_ring_finger_mcp_x,right_ring_finger_mcp_y,right_ring_finger_pip_x,right_ring_finger_pip_y,right_ring_finger_dip_x,right_ring_finger_dip_y,right_ring_finger_tip_x,right_ring_finger_tip_y,right_pinky_mcp_x,right_pinky_mcp_y,right_pinky_pip_x,right_pinky_pip_y,right_pinky_dip_x,right_pinky_dip_y,right_pinky_tip_x,right_pinky_tip_y,left_wrist_x,left_wrist_y,left_thumb_cmc_x,left_thumb_cmc_y,left_thumb_mcp_x,left_thumb_mcp_y,left_thumb_ip_x,left_thumb_ip_y,left_thumb_tip_x,left_thumb_tip_y,left_index_finger_mcp_x,left_index_finger_mcp_y,left_index_finger_pip_x,left_index_finger_pip_y,left_index_finger_dip_x,left_index_finger_dip_y,left_index_finger_tip_x,left_index_finger_tip_y,left_middle_finger_mcp_x,left_middle_finger_mcp_y,left_middle_finger_pip_x,left_middle_finger_pip_y,left_middle_finger_dip_x,left_middle_finger_dip_y,left_middle_finger_tip_x,left_middle_finger_tip_y,left_ring_finger_mcp_x,left_ring_finger_mcp_y,left_ring_finger_pip_x,left_ring_finger_pip_y,left_ring_finger_dip_x,left_ring_finger_dip_y,left_ring_finger_tip_x,left_ring_finger_tip_y,left_pinky_mcp_x,left_pinky_mcp_y,left_pinky_pip_x,left_pinky_pip_y,left_pinky_dip_x,left_pinky_dip_y,left_pinky_tip_x,left_pinky_tip_y
292,538,362,522,421,482,471,445,520,440,391,367,414,301,422,260,428,222,347,348,356,275,360,227,361,181,302,351,295,279,289,235,284,194,257,371,225,322,202,292,183,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,533,389,523,451,488,504,453,552,455,427,367,456,303,467,261,475,224,384,347,400,274,407,225,412,179,339,347,336,274,333,225,331,182,292,364,259,312,237,280,220,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,538,413,529,478,496,534,466,585,473,461,372,495,309,510,268,521,232,417,350,437,277,449,228,458,181,370,348,374,274,375,224,377,178,321,364,294,309,275,276,260,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,542,433,537,501,509,557,484,608,487,488,382,523,322,539,282,553,244,443,357,465,285,479,236,491,190,394,354,399,282,404,233,409,187,342,368,322,312,305,277,293,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,552,460,547,531,518,590,498,640,508,516,392,556,334,577,296,593,259,472,367,502,295,520,246,533,200,423,362,433,288,440,237,446,190,369,374,351,317,337,280,325,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,555,473,552,546,526,608,511,658,525,536,400,579,343,602,305,620,270,493,373,526,301,546,252,561,207,445,367,457,290,465,240,473,194,392,378,372,319,358,281,347,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,564,483,564,553,540,612,520,661,531,545,410,588,353,612,315,630,280,503,383,537,308,557,261,573,217,455,376,467,299,477,247,488,201,403,386,380,327,365,288,354,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,571,485,571,557,545,617,527,665,538,549,416,593,359,617,320,635,285,507,388,543,313,564,266,580,222,459,380,472,302,484,251,496,204,407,390,386,330,371,291,361,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,575,487,576,559,551,619,531,669,544,552,422,598,364,623,326,642,291,510,394,547,319,569,272,585,228,462,386,476,309,487,257,498,210,409,395,388,334,373,295,363,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,581,482,578,556,550,618,530,668,541,547,423,592,366,618,328,637,295,504,396,541,321,562,274,579,231,456,389,470,312,480,259,490,211,403,400,383,340,370,299,362,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,582,477,580,550,550,613,529,663,542,542,425,586,368,611,331,630,297,499,398,535,325,556,277,572,234,450,392,465,315,475,262,484,213,397,403,378,342,365,301,356,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,589,473,585,546,557,608,535,660,544,535,431,580,372,605,335,623,300,495,405,531,330,551,282,566,239,448,398,465,320,475,268,484,221,396,408,379,346,367,305,359,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,681,501,679,568,656,622,636,674,637,557,528,599,468,620,434,644,406,517,505,548,430,568,395,589,369,472,503,483,430,497,393,518,366,424,520,408,464,409,435,420,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
